DMID  PAIR_NAME  RA_+_DEC        z         zerr           NII6583        unc       Halpha         unc         Hbeta          unc       OIII5007        unc          Z
I001  dm0827+46  082718.00+460157.3  0.0073557  0.0000053      114.398        2.317     2406.709       16.281      770.382        7.811     2580.326       18.310        8.037
I002  dm0827+46  082718.06+460203.0  0.0071729  0.0000034      216.256        2.102     3796.802       22.074     1205.496        7.789     4173.187       25.013        8.248
I003  dm1031+41  103118.23+410232.4  0.0087557  0.0000064       12.212        0.979      132.978        2.073       39.576        1.781       87.741        2.302        8.253
I004  dm1031+41  103118.37+410226.4  0.0086105  0.0000061       42.858        1.514      554.554        6.406      167.701        3.319      368.017        4.960        8.072
I005  dm1134+44  113453.68+440016.4  0.0185518  0.0000057      118.878        2.579     2078.991       18.259      662.108        8.523     2269.883       21.760        8.192
I006  dm1134+44  113452.95+440017.4  0.0185068  0.0000052      304.244        4.015     7601.226       56.111     2217.250       19.290    11013.949       81.486        8.496
I007  dm1647+21  164710.96+210542.8  0.0088339  0.0000133        1.326        1.241       56.198        1.938       18.866        2.225       10.179        2.202      -99.900
I008  dm1647+21  164710.66+210514.5  0.0090994  0.0000047       35.651        1.707     4089.400       29.274     1341.173       12.693     6589.324       47.532        7.848
I009  dm1152+07  115230.67+070702.5  0.0317067  0.0000175        6.323        1.610       66.548        2.523       20.570        2.519       27.703        2.761      -99.900
I010  dm1152+07  115230.06+070704.0  0.0315086  0.0000056      107.752        2.048     1625.038       12.496      504.907        6.145     1676.635       14.513        8.295
I011  dm1529+26  152929.03+260027.0  0.0067325  0.0000043       70.641        1.933     1768.200       15.516      596.084        7.431     2424.479       19.268        8.095
I012  dm1529+26  152924.67+255947.8  0.0067694  0.0000056       10.527        1.541      214.404        3.271       64.482        2.595      101.476        3.100        7.917
I013  dm1422+22  142257.72+225441.4  0.0000000  0.0000000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
I014  dm1422+22  142257.02+225437.0  0.0323311  0.0000070       12.691        1.174      116.675        2.032       38.043        1.987       63.879        2.323        8.331
I015  dm0035-10  003548.31-104724.1  0.0372595  0.0000056       93.154        1.903      481.777        4.238      148.685        2.971      168.239        2.992        8.663
I016  dm0035-10  003548.28-104740.1  0.0376929  0.0000071       22.559        1.816      166.125        2.876       67.738        2.563      108.590        3.116        8.419
I017  dm1059+47  105906.56+472746.8  0.0333150  0.0000080       21.146        1.264      114.746        2.121       36.735        1.827       46.897        2.008        8.627
I018  dm1059+47  105904.73+472748.4  0.0336761  0.0000064       86.078        1.946      421.362        4.529      125.797        2.960      154.795        3.371        8.700
I019  dm1036+10  103656.24+104014.9  0.0272628  0.0000070       12.879        1.408      299.075        3.923       90.391        2.957      162.786        3.839        7.920
I020  dm1036+10  103654.72+104007.7  0.0273252  0.0000063       18.968        1.088      332.255        3.809      104.926        2.670      267.975        4.378        8.131
I021  dm1107+00  110749.18+005520.6  0.0612977  0.0000056      152.882        2.720     1253.882       11.166      366.372        5.152      727.817        7.875        8.592
I022  dm1107+00  110748.61+005527.4  0.0612264  0.0000066       94.499        2.269      492.015        5.118      153.143        3.355      140.878        3.421        8.642
I023  dm1337+18  133714.38+181401.5  0.0649615  0.0000060       72.802        2.065      518.643        5.510      154.971        3.158      336.626        4.976        8.613
I024  dm1337+18  133713.66+181359.7  0.0651562  0.0000071       56.739        1.659      509.985        5.599      149.625        3.251      355.621        5.142        8.605
I025  dm0844+20  084435.42+200011.1  0.0267345  0.0000118       41.607        1.759      117.478        2.469       39.712        2.171       18.034        1.961        8.867
I026  dm0844+20  084433.80+200021.7  0.0264869  0.0000053       20.875        1.193      179.715        2.532       50.219        2.121      132.903        2.859        8.425
I027  dm1225+50  122536.38+502013.0  0.0082558  0.0000156      196.437        4.941      497.383        7.051      143.449        4.164       35.120        3.559        9.047
I028  dm1225+50  122528.38+501943.8  0.0083562  0.0000064      166.703        3.606     1412.855       15.340      450.286        6.758      996.641       11.054        8.624
I029  dm0953+49  095358.51+493759.2  0.0541818  0.0000053      160.758        2.711     1014.844        9.209      271.409        4.206      537.752        6.690        8.652
I030  dm0953+49  095357.15+493754.5  0.0539496  0.0000101       58.506        2.004      170.969        3.130       49.171        2.276       17.572        2.144        9.001
I031  dm0801+14  080133.92+141334.2  0.0538358  0.0000060       64.890        1.454      347.693        3.170       99.198        2.349      117.203        2.648        8.709
I032  dm0801+14  080133.08+141341.5  0.0528761  0.0000074       85.529        1.962      352.579        4.273       88.609        2.364       95.323        2.502        8.754
