DMID  PAIR_NAME  RA_+_DEC            z          zerr           NII6583      unc_NII       Halpha       unc_Ha        Hbeta       unc_Hb     OIII5007     unc_OIII            Z
N001  dm1503+00  150355.65+002555.6  0.0052892  0.0000053       79.238        2.255     2848.288       21.329      895.904        9.787     3728.985       31.177        8.011
N002  dm1503+00  150356.22+002546.5  0.0052702  0.0000054       32.829        1.271     1102.947        8.999      363.302        5.101     1807.524       14.097        8.121
N003  dm1115+46  111541.45+460742.4  0.0095252  0.0000062      126.354        2.762     2351.444       17.819      710.420        8.842     2361.363       22.117        8.128
N004  dm1115+46  111540.39+460739.0  0.0095833  0.0000034      100.412        2.349     1417.024       11.422      432.009        6.030     1279.356       12.286        8.294
N005  dm0948+32  094804.68+325257.0  0.0051015  0.0000064      429.634        7.587     4369.396       38.367     1413.284       15.653     3133.100       31.777        8.618
N006  dm0948+32  094802.68+325401.7  0.0053244  0.0000070       17.634        1.594      202.105        3.202       63.498        2.681      111.404        3.362        8.205
N007  dm1449+36  144951.10+362501.5  0.0062189  0.0000059       13.871        1.410      403.191        4.746      136.606        3.400      345.929        4.908        7.856
N008  dm1449+36  144948.75+362347.4  0.0062738  0.0000053       11.817        1.191      265.711        3.392       94.674        2.760      179.093        3.297        8.003
N009  dm0944-00  094406.97-003932.1  0.0000000  0.0000000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
N010  dm0944-00  094401.87-003832.1  0.0047763  0.0000066      219.518        2.734    18835.123      135.785     5755.302       33.518    31517.637      175.491        7.895
N011  dm1342+52  134251.84+524230.4  0.0059386  0.0000048      190.877        3.254     6235.175       50.441     1919.611       16.484     9015.911       63.340        8.081
N012  dm1342+52  134259.41+524118.1  0.0059918  0.0000055       22.094        1.275      630.624        7.201      201.814        3.877      592.529        7.042        8.018
N013  dm1422+18  142228.20+180052.6  0.0287688  0.0000075       18.842        1.385      158.648        2.545       47.914        2.051       83.900        2.710        8.370
N014  dm1422+18  142226.79+180043.2  0.0282587  0.0000082      232.883        3.889      818.021        8.223      208.166        3.796      131.976        3.488        8.803
N015  dm1349-02  134955.52-020019.2  0.0230557  0.0000096       11.108        1.460       91.169        2.234       30.849        2.676       33.372        2.599        8.331
N016  dm1349-02  134954.80-020046.3  0.0233147  0.0000060       44.742        1.362      674.420        5.331      231.625        3.634      700.729        6.897        8.186
N017  dm1218+45  121839.13+454706.9  0.0192567  0.0000051      145.705        2.680     5064.321       39.343     1609.507       14.502     8579.379       61.184        8.094
N018  dm1218+45  121838.72+454628.1  0.0191043  0.0000089        8.119        1.049       72.250        1.769       16.951        1.618       43.742        2.002        8.377
N019  dm0206-08  020621.24-085218.2  0.0179893  0.0000134       10.378        1.232       73.828        1.777       21.696        2.113       19.852        2.151        8.372
N020  dm0206-08  020620.21-085257.4  0.0184123  0.0000049       28.647        0.901      418.297        2.736      159.980        2.202      441.459        3.593        8.204
N021  dm0925+66  092601.49+660747.4  0.0000000  0.0000000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
N022  dm0925+66  092551.72+661008.4  0.0056408  0.0000057       14.444        1.205      111.602        2.048       35.042        2.021       51.722        2.338        8.384
N023  dm1014+59  101459.14+594903.1  0.0071982  0.0000043       51.826        1.404     2086.281       14.849      702.318        7.006     2712.269       27.990        7.988
N024  dm1014+59  101457.09+595111.4  0.0073267  0.0000048       47.491        1.815     1375.553       10.424      495.606        5.570     2136.364       16.344        8.122
N025  dm1406+55  140648.22+550147.5  0.0067690  0.0000099       10.719        7.081       15.088        2.434        6.586        2.203      -12.734        6.841      -99.900
N026  dm1406+55  140638.14+545947.7  0.0061287  0.0000191        6.580        1.143       44.875        1.902       10.648        1.934       16.490        1.838      -99.900
N027  dm1312+34  131207.51+341613.7  0.0176287  0.0000069       62.477        2.172      443.518        5.068      132.810        3.532      225.409        4.409        8.592
N028  dm1312+34  131205.26+341523.1  0.0166030  0.0000055       64.967        2.117      392.619        4.737      118.649        3.011      123.396        3.421        8.627
N029  dm1505+01  150537.73+011811.2  0.0069222  0.0000495       -0.392        1.405        1.776        1.166       -2.336        1.909        2.076        2.316      -99.900
N030  dm1505+01  150528.74+011733.0  0.0076843  0.0000055       49.579        1.412      369.458        3.522      113.492        2.711      129.052        2.659        8.717
N031  dm1132+57  113227.71+572142.4  0.0000000  0.0000000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
N032  dm1132+57  113202.41+572245.2  0.0050407  0.0000061       26.497        1.129     1872.974       14.112      597.202        6.988     1242.813       12.472        7.691
N033  dm1352+03  135212.50+033918.6  0.0145601  0.0000069       15.742        1.262      141.626        2.379       52.595        2.240       88.252        2.713        8.311
N034  dm1352+03  135209.87+033811.7  0.0145533  0.0000105       13.581        1.225       74.374        1.859       20.478        1.951       16.194        1.795        8.480
N035  dm1219+06  122003.48+060038.6  0.0000000  0.0000000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
N036  dm1219+06  121953.71+060156.2  0.0000000  0.0000000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
N037  dm1539+34  153950.30+343929.7  0.0215731  0.0000076       77.021        2.889      387.035        5.401      139.776        4.052      144.366        4.504        8.716
N038  dm1539+34  153946.00+343947.1  0.0216496  0.0000071      126.637        2.371     1148.078        9.568      351.572        5.621      862.784        9.559        8.613
N039  dm0957+15  095703.24+153441.7  0.0137167  0.0000131       31.242        1.548       85.594        2.102       25.293        1.926       29.788        1.913      -99.900
N040  dm0957+15  095700.35+153320.3  0.0144551  0.0000089      633.176        7.776     1893.433       16.505      499.833        7.234      218.378        5.509        9.006
N041  dm0818+24  081808.31+243006.3  0.0070212  0.0000175        3.979        1.254       32.602        1.609        9.771        1.681       10.904        1.782      -99.900
N042  dm0818+24  081819.69+243136.9  0.0073831  0.0000076       58.580        2.943      766.013        8.220      242.001        5.132      602.901        8.314        8.214
N043  dm1429+40  142934.26+405329.5  0.0090040  0.0000144       10.116        1.874       80.231        2.831       40.852        3.052       36.686        3.065      -99.900
N044  dm1429+40  142934.14+405602.3  0.0088078  0.0000073        8.034        1.684      125.725        2.948       50.241        2.956       75.897        3.381      -99.900
N045  dm1402+50  140300.80+500043.6  0.0063696  0.0000051      215.534        4.534     1603.998       13.768      479.579        6.848      909.698       11.672        8.624
N046  dm1402+50  140239.46+500153.7  0.0068717  0.0000582        3.598        1.090        7.515        1.014        1.237        1.493        1.724        1.174      -99.900
N047  dm1032+28  103221.35+282513.3  0.0054109  0.0000057       30.452        1.278      198.708        2.729       59.810        2.019      124.780        2.667        8.419
N048  dm1032+28  103210.38+282858.9  0.0052766  0.0000103       27.535        2.275      194.081        3.835       55.775        4.015      122.122        4.132        8.418
N049  dm1419+39  141925.66+395127.4  0.0053991  0.0000045      169.192        3.742     3200.949       27.336      975.575       10.651     3503.790       28.445        8.134
N050  dm1419+39  141907.30+394851.6  0.0055815  0.0000246        2.532        1.028       26.748        1.548       11.070        1.774        2.158        1.600      -99.900
N051  dm1427+56  142742.36+563545.4  0.0065128  0.0000570        0.414        1.254        9.882        1.405       -1.643        1.499        3.082        1.520      -99.900
N052  dm1427+56  142742.86+563932.0  0.0067730  0.0000165       19.503        1.955       80.907        2.618       23.292        2.168       26.752        2.637        8.477
N053  dm1141+32  114135.99+321654.1  0.0060470  0.0000084        2.436        0.970       67.065        1.681       24.231        1.756       24.093        1.727      -99.900
N054  dm1141+32  114129.86+322059.5  0.0060180  0.0000055      175.200        2.687     3665.374       26.927     1309.252       10.529     5906.147       40.494        8.322
N055  dm1022+21  102226.02+213231.3  0.0000000  0.0000000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
N056  dm1022+21  102221.11+213100.3  0.0000000  0.0000000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000
N057  dm1247-01  124712.31-013409.6  0.0094360  0.0000061       37.090        1.493      223.331        3.126       72.824        2.643       92.768        2.665        8.633
N058  dm1247-01  124701.01-013441.0  0.0090452  0.0000436        6.218        1.343       14.354        1.539        8.427        2.086        1.528        1.709      -99.900
N059  dm1254+58  125449.77+585256.4  0.0085605  0.0000074      214.518        4.200     1105.949       10.401      341.619        5.800      461.719        7.325        8.728
N060  dm1254+58  125422.50+585341.5  0.0081907  0.0000054      113.991        2.969      646.421        7.060      221.382        4.440      354.482        5.871        8.656
N061  dm1220+08  122049.37+083539.6  0.0145386  0.0000048      382.533        4.786     2026.504       15.864      504.800        6.359      739.438        8.460        8.709
N062  dm1220+08  122040.98+083537.0  0.0147430  0.0000493        1.021        0.806       12.868        1.244        1.534        1.471        0.119        1.176      -99.900
N063  dm0813+07  081325.40+072901.4  0.0298167  0.0000048       77.884        2.044      906.434        7.859      299.480        4.491      951.380        9.035        8.507
N064  dm0813+07  081321.57+072929.5  0.0297405  0.0000052       64.858        1.686      965.800        8.741      292.737        4.221     1062.856       10.175        8.234
N065  dm1214+49  121431.63+495427.8  0.0142938  0.0000067        8.706        1.596      194.865        3.387       66.400        3.605      119.600        4.332      -99.900
